answer_text	intent_texts
Напишите текст возникающей ошибки, которая возникает при попытке закрыть поставку?	NULL
Возможные причины того, что не все товары импортируются:\n1)У вас возникают ошибки при импорте, они отображаются в таблице на вкладке маркетплейса. Зайдите на страницу импорта и проверьте наличие ошибок:\nhttps://selsup.ru/application/productsImport/\n2)Некоторые ваши товары связались с существующими товарами и у них проставилась связь с маркетплейсов, при этом новый товар не создастся. Проверьте в поиске на странице Товары, находится ли ваш товар:\nhttps://selsup.ru/application/products\n3)Если товары все равно не импортируются, напишите нам артикул или штрих-код товара, который не импортируется и с какого маркетплейса	NULL
Вы можете отправлять заказы по схеме DBS через СДЭК. Вам необходимо самостоятельно оценить разницу в стоимости доставки для ваших товаров.	NULL
Доставка у служб доставки осуществляется либо в пункт выдачи транспортной компании или до двери. Со списком точек доставки и тарифами вы можете ознакомиться на сайте службы доставки.	NULL
Ошибка возникает, когда у вас закончился префикс предприятия в GS1 Rus и Честный знак не может получить новые штрих-коды. Обычно новый префикс выдается в GS1 Rus автоматически, когда закончился предыдущий префикс. Напишите в поддержку честного знака, в кабинете или на электронный адрес support@crpt.ru следующее письмо:\n\nЗдравствуйте. При попытке получить штрих-коды по API из национального каталога отдается ошибка: Просьба обратиться в ГС1 для получения нового префикса предприятия. Обновите, пожалуйста, префикс предприятия, тк GS1 Rus автоматически выделяет новый префикс.\n\nGET https://xn--80aqu.xn----7sbabas4ajkhfocclk9d3cvfsa.xn--p1ai/v3/generate-gtins?quantity=20\nAuthorization   ...\n\n{"apiversion":3,"result":{"error":"Просьба обратиться в ГС1 для получения нового префикса предприятия!!","monthly-limit":{"limit":11000,"usage":99},"drafts":[]}}	NULL
Рабочее время поддержки - с 06:00 до 02:00 (будни), с 9:00 до 18:00 (выходные) по московскому времени. Возможно, оператор ответит вам в нерабочее время, если будет такая возможность.	NULL
Закрыть поставку вы можете на странице Заказов со своего склада:\nhttps://selsup.ru/application/fbsOrders/\n\nНа странице есть блок Поставки (по умолчанию он скрыт), раскройте его и там будут отображаться актуальные поставки. Когда вы собрали все товары - нажмите ссылку Проверить и закрыть. Подробнее на скриншоте - https://selsup.ru/wp-content/uploads/2024/11/snimok-ekrana-2024-11-26-v-17.25.54.png\nSelSup проверит соответствие списка заказов у себя и на Wildberries, если все совпадает и нет не собранных заказов - предложит ее закрыть. Если он найдет расхождения или не собранные заказы, которые прикреплены к поставке, предложит перейти на страницу поставки для исправления списка заказов.\n\nЕсли поставка уже закрыта - он просто закроет поставку у себя и обновит список заказов, которые относятся к этой поставке	NULL
Напишите в чем конкретно проблема, какая ошибка возникает\n\nЕсли проблема с загрузкой этикеток - попробуйте нажать кнопку обновить статусы и этикетки заказов, проверьте статус заказа - этикетки можно скачать только у заказов в статусе "Ожидает доставки" (Ozon, Яндекс.Маркет) и прикрепленные к поставке (для Wildberries). Возможно вам нужно закрыть неактуальные поставки Wildberries. Если после этого этикетка не загружается, пришлите номер заказа.\n\nЕсли пишет "Не найдена этикетка", значит вы не добавили этикетки на странице "Данные" - "Этикетки":\nhttps://selsup.ru/application/labels/\n\nЕсли проблема с печатью - проверьте, запущен ли QzTray, доступен ли принтер. Зайдите на страницу и проверьте подключение и наличие принтера:\nhttps://selsup.ru/application/labels/\nПопробуйте перезапустить QzTray.	NULL
Включив переключатель "Принимать заказы при импорте", в настройках FBS:\nhttps://selsup.ru/application/settings/fbs/\n\nSelSup будет автоматически загружать этикетки заказов при импорте, для Wildberries прикреплять заказы к поставке, а для других маркетплейсов, переводить заказы в статус ожидает доставки, в котором SelSup может загрузить этикетки заказов.	NULL
SelSup позволяет управлять вашими продажами на всех маркетплейсах из одного окна. Вы можете делать закупки товаров, создавать карточки товаров, собирать заказы по FBS, контролировать и изменять остатки на всех маркетплейсах, формировать заказы на маркетплейс, смотреть всю аналитику по продаже на маркетплейсах и вести финансовый учет.	NULL
Интеграции с Авито позволяет:\n- работать с карточками товаров, создавать их, редактировать и обмениваться с Авито\n- работать с заказами, списывать остатки и передавать доступные остатки на Авито\nИнтеграция с Авито стоит 1500 руб. в месяц и вы можете попробовать 7 дней бесплатно\n\nИнтеграция не позволяет подтверждать заказы, тк это нужно делать через чат \n\nЕсли Вы хотите подключиться и попробовать интеграции с Авито, настройте интеграцию на странице:\nhttps://selsup.ru/application/integration/avito	NULL
С этом вопросом вам нужно обратиться в поддержку Честного знака, по электронной почты: support@crpt.ru	NULL
Вы можете скачать этикетки в PDF, а дальше в настройках печати указать сколько страниц печатать на одном листе А4. После этого вы можете вырезать этикетки и приклеить на товары.	NULL
Вы можете настроить синхронизацию остатков SelSup с 1С. Для этого настройте интеграцию с 1С на странице:\nhttps://selsup.ru/application/integration/1c\nВ настройках интеграции вы можете указать склад, на котором обновлять остатки в SelSup из 1с\n\nПо инструкции:\nhttps://selsup.ru/help/integratsiya-s-1c/	NULL
Какой у вас вопрос по API и какого маркетплейса?	NULL
Ошибка может возникать, если в интеграциях вы не указали Client ID или ключ API Ozon. Зайдите на страницу и проверьте, указаны ли у вас оба поля:\nhttps://selsup.ru/application/integration/ozon\n\nПри формировании ключа нужно выбирать доступ Администратор, а не Товары.\n\nПроверьте отсутствие ошибки и красных предупреждений о невалидности токена.\n\nТак же ошибка может временно возникать из-за поломки авторизации ключей у маркетплейса. Попробуйте перезапустить задачу или действие, которое вы делали	NULL
Кнопки отправки только одного цвета из карточки нет, но вы можете пометить цвета, которые не хотите отправлять архивными, нажав на красный крестик рядом с названием цвета, и нажать кнопку Сохранить. После отправки на маркетплейс - восстановить цвета из архива, нажав на зеленый крестик рядом с названием цвета.	NULL
Вы можете изменить настройки страницы цены, нажав на шестеренку в разделе Цены:\nhttps://selsup.ru/application/prices/\n\nВ настройках есть галочка - Устанавливать цены на каждый размер - проставьте ее, чтобы изменить вид страницы Цены, чтобы в ней отображались конкретные размеры. При этом на Wildberries, по прежнему ценами можно будет управлять только на конкретные цвета, а не размеры.	NULL
SelSup позволяет хранить данные о товарах - названия, описания, характеристики, картинки и отправлять их на маркетплейсы и другие сервисы. В карточке товара могут показываться характеристики ваших карточек со всех маркетплейсов, а так же ваши характеристики, которые вы добавили или импортировали из 1с или YML.	NULL
Вы можете импортировать товары из сервиса Мой склад на странице:\nhttps://selsup.ru/application/productsImport/moySklad\n\nСуществующим товарам, которые будут найдены по штрих-коду или артикулу будет проставлена связь с карточкой сервиса Мой склад	NULL
При импорте карточек SelSup обязательно формирует название товара. На маркетплейсе Wildberries, нельзя указать название для конкретного размера, а так же многие указывают SEO название в Wildberries, что мешает нормальной работе с таким название в SelSup.\n\nПоэтому для Wildberries, по умолчанию мы формируем автоматическое название, которое состоит из Категории + Бренд + Артикул + размер если он есть.\n\nДля некоторых поставщиков это не актуально, тк они используют нормальные названия на Wildberries и в карточке нет размеров, поэтому при импорте карточек вам необходимо включить переключатель: \nИспользовать название Wildberries в качестве названия товара\nhttps://selsup.ru/application/productsImport/wildberries\n\nЕсли вы уже импортировали карточки с неправильным названием, то можно его исправить массово через Excel. Скачайте Excel в разделе Товары -> кнопка Экспорт, скопируйте колонку Название Wildberries в Название и импортируйте обратно в SelSup, на странице Товары -> кнопка Импорт\n\nТак же можно удалить все карточки через раздел Мои организации, нажав кнопку в колонке Удалить карточки\nhttps://selsup.ru/application/organizations/\nПотом заново их импортировать уже с включенной галочкой	NULL
Данный вопрос вам нужно задать в поддержке маркетплейса, мы не консультируем по таким вопросам.	NULL
Бот это я, вы мне сейчас пишете	NULL
Вы можете скачать шаблон SelSup для создания карточки на странице, по кнопке Шаблон:\nhttps://selsup.ru/application/productsImport/\n\nВ шаблоне помечены оранжевым цветом обязательные поля, единственное поле Цвет может быть пустым. Штрих-код будет генерироваться автоматически, если вы его не укажите. При заполнении шаблона обратите внимание на поля Артикул (объединять на одной карточке), Цвет и Размер - они идут вместе и артикул оранжевый. В каждой строчке комбинация этих полей должна быть уникальной. Так же если вы уже загрузили шаблон и SelSup создал карточку - загрузить его повторно не получится, SelSup напишет ошибку если товар уже существует и обновлять его не будет. Чтобы обновить товары нужно заново скачать шаблон, где будет проставлено поле ID (не заполнять).\n\nЕсли вы заполнили шаблон, загрузите его в поле "Перетащите или выберите файл", на странице по ссылке выше. Товары будут импортированы в SelSup. В таблице под полем загрузки будут показываться ошибки - если SelSup не сможет импортировать какой-то товар.	NULL
Вы можете массово загрузить фотографии товаров на Wildberries уже после создания карточки на данном маркетплейсе. Зайдите на странице Товары -> Фото, отфильтруйте товары без фото на Wildberries\n\nhttps://selsup.ru/application/photo/products/?ascending=false&count=true&limit=200&noWbImages=true&sortBy=ID&uniqView=true\n\nНажмите кнопку Загрузить фотографии Wildberries. Фотографии будут постепенно отправляться на Wildberries, при этом вы не должны уходить со страницы - иначе процесс загрузки прервется. После загрузки фото - перейдите на страницу импорта карточек с Wildberries, и запустите импорт:\nhttps://selsup.ru/application/productsImport/wildberries\n\nОн обновит статус загрузки фотографии и вы сможете опять отфильтровать товары без фото, если какие-то фотографии не загрузились\n\nЕсли ваши фотографии имеют размер меньше 900 на 1200 пикселей - Wildberries их не примет и необходимо сначала загрузить фотографии в SelSup, чтобы потом они отдавались увеличенного размера. Для этого на странице выше есть кнопка "Загрузить фотографии в SelSup"	NULL
Как провести сверку данных аналитики с маркетплейсами, вы можете посмотреть в видео уроке по ссылке:\nhttps://selsup.ru/application/tutorials/3	NULL
Интеграция с какими сервисами вас интересует? Список возможных интеграций можно найти на странице Интеграции в SelSup:\nhttps://selsup.ru/application/integration/	NULL
SelSup может работать с маркетплейсами: Wildberries, Ozon, Aliexpress, Яндекс.Маркет и СберМегаМаркет. У маркетплейсов различаются функции в API, поэтому автоматизация тоже различается.\n\nАналитика доступна только для Wildberries, Ozon и Яндекс.Маркет (у последнего есть проблемы с передачей аналитики по API и она может отображаться некорректно)\n\nПолностью функционал создания карточек работает для Wildberries, Ozon и Aliexpress - вы можете заполнить параметры этих маркетплейсов и отправить их. В Яндекс.Маркет можно создавать только упрощенные карточки, тк API по параметрам у них нет. В СберМегаМаркет аналогично, вы можете передать только ссылку на YML файл\n\nРабота по FBS и передача остатков (когда SelSup отправляет остатки) работает для всех 5 маркетплейсов. Единственное остатки мы можем получать только с Wildberries и Ozon, для остальных маркетплейсов импортировать остатки можно только файлом - тк они не отдают свои текущие установленные остатки.	NULL
Штрих-код – это знак, предназначенный для автоматизированных идентификации и учета информации о товаре, закодированной в виде цифр и штрихов.	NULL
Изменить категорию на Wildberries, можно только на смежную категорию. Wildberries запретил у существующих карточек менять категорию на произвольную. Так же есть ряд категорий, которые запрещены к продаже и изменить на нее тоже нельзя. Попробуйте в категории SelSup изменить связь с категорией Wildberries и проверить на одной карточке - возможно ли такое изменение. Если Wildberries позволит изменить категорию - значит изменение возможно	NULL
Объединить остатки на разных складах SelSup вы можете через инвентаризацию. Скачиваете остатки товаров на каком-то складе и прибавляете это количество через файл Excel в инвентаризации.\n\nТак же если у вас немного остатков, можно изменить ячейку хранения на другой склад на странице остатки:\nhttps://selsup.ru/application/items/?count=true&grouped=true&limit=100&sortBy=CREATEDDATE&status=IN_STOCK	NULL
отлично	NULL
Перенести карточки в одной организации на другую вы можете через раздел Товары:\nhttps://selsup.ru/application/products\n\nВыгрузите товары с одной организации, нажав на кнопку Экспорт и выбрав нужную организацию. Откройте файл Excel, проверьте, что у вас заполнены все нужные параметры. Удалите значение в колонке ID (не изменять) и поправьте организацию в колонке Организация.\n\nЕсли вы хотите использовать такие же штрих-коды, то в настройках страницы Товары включите возможность дублировать штрих-код между организациями:\nhttps://selsup.ru/application/settings/products/\n\nЕсли вы хотите использовать другой штрих-код, просто удалите его. Внесите другие изменения, которые хотите - например измените бренд и тп.\n\nЗагрузите файл на странице Товары -> кнопка Импорт, включив отправку в нужные маркетплейсы. Товары будут созданы у другой организации с те ми же параметрами и названиями\nhttps://selsup.ru/application/productsImport/\n\nСмотрите видео по переносу карточек:\nhttps://www.youtube.com/watch?v=RWu9BHfPurU\n\nЕсли вы хотите просто создать дубликат единичной карточки, то используйте соответствующую кнопку на карточке - Создать дубликат.\n\nОтзывы, продажи и рейтинг карточки не сохраняются при таком переносе	NULL
Вы можете выгрузить товары в Excel на странице Товары, нажав кнопку Экспорт. В открывшемся окне нажмите кнопку Выгрузить новый файл.\nhttps://selsup.ru/application/products	NULL
Заказы автоматически подтверждаются SelSup, при их передаче СберМегаМаркетом	NULL
Отчет по ABC-анализу вы можете посмотреть на странице:\nhttps://selsup.ru/application/absAnalytics/	NULL
Напишите, какой именно импорт (товаров - с какого маркетплейсы или заказов) у вас не получается и какая ошибка возникает?	NULL
Надеемся вам понравится	NULL
Количество карточек, которое можно создать через SelSup, никак не ограничено на любом платном тарифе, есть ограничение только на общее количество актуальных товаров. На тестовом периоде можно отправить не более 20 карточек.	NULL
Скорее всего вы не добавили склад FBS на странице Wildberries:\nhttps://seller.wildberries.ru/marketplace-pass/warehouses\n\nЗайдите на страницу и проверьте, что у вас добавлен склад.	NULL
Штрих-код у всех маркетплейсов уникальный только в рамках вашего кабинета/магазина, поэтому проще и лучше использовать один штрих-код от Wildberries на всех маркетплейсах:\n1)Вам не нужно переклеивать для разных маркетплейсов штрих-код, что исключает ошибки\n2)При импорте проще объединять одинаковые товары с разных маркетплейсов, тк у них одинаковый штрих-код\n3)EAN13, гораздо меньше по размерам, чем CODE128 от Ozon при печати этикетки	NULL
Ozon и Яндекс.Маркет не позволяют генерировать штрих-код по API, поэтому формирование штрих-кодов с этих маркетплейсов не возможно. У Ozon штрих-код это OZNномер карточки, поэтому получить его до создания карточки на Ozon невозможно	NULL
Напишите, что исправить?	NULL
Напишите текст возникающей ошибки или опишите проблему?	NULL
Очень рады познакомиться	NULL
Нет, функционал для производств пока в разработке	NULL
При сканировании кода маркировки считывается специальный текст - готорый содержит GTIN, серийный номер кода и другую информацию. Код маркировки не является ссылкой.\n\nЕсли вы хотите проверить код маркировки, то сделать это можно через официальные приложения Честного знака:\nhttps://честныйзнак.рф/mobile_business/	NULL
Вы можете распечатать этикетки товаров, маркировку, этикетки заказов через SelSup.\n\nНастроить вид и добавить нужные этикетки, вы можете на странице Данные -> Этикетки:\nhttps://selsup.ru/application/labels/\n\nПерейдя в нужную этикетку вы можете настроить ее вид, добавить нужные вам элементы и вывод информации из карточки товара.	NULL
SelSup умеет создавать файлы поставки для Ozon и Wildberries, вести учет остатков на складе FBO, подготавливает накладные, а так же может показывать всю аналитику ваших продаж по FBO Ozon и Wildberries.\n\nТак же может создавать карточки товаров на маркетплейсах	NULL
сбмм	NULL
В заказе показывается вкладка - Заказы СУЗ, нажмите на нее и откроется список заказов. Нажмите кнопку Получить заказы.\nhttps://selsup.ru/wp-content/uploads/2023/05/snimok-ekrana-2023-05-10-v-22.45.16.png	NULL
Вы можете связать карточки SelSup, с карточками Национального каталога проставив поле GTIN в карточке. Скачайте файл Excel из SelSup на странице Товары, кнопка Экспорт. \nhttps://selsup.ru/application/products\n\nВ файле будет поле GTIN, которое необходимо проставить и загрузить обратно на странице Товары -> кнопка Импорт.\nhttps://selsup.ru/application/productsImport/	NULL
Нет, у нас нет внешней аналитики конкрунтов	NULL
На каждой странице есть кнопка Помощь вверху страницы, которая ведет на помощь по странице, на которой вы находитесь\n\nВ справочном центре вы найдете много статей по разным функциям SelSup:\nhttps://selsup.ru/help/\n\nТак же можете посмотреть видео на нашем канале:\nhttps://www.youtube.com/@selsup376\nили написать свой вопрос в данном чате	NULL
Нет, инструмента анализа SEO карточки у нас нет	NULL
Открытая инвентаризация на одном складе может быть только одна. Поэтому вам нужно сначала перейти на страницу Склад -> Инвентаризаций:\nhttps://selsup.ru/application/inventories/\nНажать крестик для закрытия инвентаризации на складе, на котором вы хотите начать новую инвентаризацию\n\nИнвентаризация можно закрыть в любой момент, но обычно ее закрывают, когда вы полностью проверили остатки на складе.	NULL
Справа сверху страницы есть ссылка Выход, нажмите на нее, чтобы разлогиниться из кабинета SelSup.	NULL
Нет, сейчас в этикетке нельзя повернуть текст на 90 градусов - только сформировать этикетку другого формата - вертикального и сделать переворот уже в настройках принтера	NULL
Ошибка означает, что вы указали некорректный Артикул Яндекс.Маркета - в нем не должны содержаться пробелы и запрещенные символы. Поправьте поле Артикул Яндекс.Маркета(SKU Яндекс.Маркета), чтобы он соответствовал требованиям Яндекса.\n\nЕсли вы не заполняете поле SKU Яндекс.Маркета, то он берется из другого артикула товара с другого маркетплейса и нужно явно указать артикул Яндекс.Маркета. Так же вы можете массово заполнить артикул через Excel на странице Товары -> кнопка Экспорт	NULL
Вы можете обнулить остатки на конкретном складе в SelSup через инвентаризацию. Зайдите на страницу Склад -> Инвентаризации:\nhttps://selsup.ru/application/inventories/\n\nВыберите склад и нажмите кнопку Начать инвентаризацию. Перейдите на страницу инвентаризации, нажав на дату. На странице инвентаризации, нажмите кнопку скачать текущие остатки, в Excel файле проставьте 0 в остатках и загрузите файл с остатками обратно на странице инвентаризации. Остатку будут обнулены в SelSup.\n\nТак же вы можете обнулить остатки товаров массово на маркетплейсе, создав новый склад SelSup с нулевыми остатками на странице:\nhttps://selsup.ru/application/warehouses/\nПроставьте новому складу связи со складами маркетплейсов, на которых нужно обнулить остатки. С основного склада необходимо убрать связи со складами для этих маркетплейсов, тем самым вы перенесете связи с основного склада, на склад с нулевыми остатками.\nДалее запустите импорт с обновлением остатков и SelSup обнулит все остатки массово на маркетплейсе, при этом они останутся в SelSup и потом вернув обратно связи со складами вы так же сможете легко вернуть остатки:\nhttps://selsup.ru/application/fbsOrders/	NULL
Тогда вам к доктору	NULL
Вы можете посмотреть, как сверять данные с маркетплейсами Ozon или Wildberries, в видео-уроке:\nhttps://selsup.ru/application/tutorials/3\nhttps://www.youtube.com/watch?v=VVUJ0RKmqdA\nhttps://www.youtube.com/watch?v=T5LZbvMKBPA\n\nПосмотрите с какими именно отчетами нужно сравниваться, тк у маркетплейсов могут расходиться данные в разных отчетах и сравнивать их между собой нельзя. Мы производим сравнение с финансовым отчетом.\n\nЕсли у вас действительно не сходятся данные, как указано в видеуроке, пришлите ваши данные и с каким отчетом SelSup они не сходятся, мы проверим	NULL
Да можете	NULL
Импортировать заказы FBS с маркетплейсов вы можете на странице Заказы со своего склада:\nhttps://selsup.ru/application/fbsOrders/\n\nВ меню Заказы на отгрузку -> Со своего склада. Нажать кнопку Импортировать заказы - чтобы новые заказы импортировались в SelSup\n\nЗаказы так же могут импортироваться автоматически, если у вас включена галочка Онлайн остатки на странице Мои организации.\n\nДля ее включения прочитайте инструкцию:\nhttps://selsup.ru/help/perenos-ostatkov/	NULL
Если заказ отменен покупателем до его сборки - то остатки будут возвращены. Если заказ уже собран и вы отправили заказ - остатки не будут возвращены и их необходимо заново принять на склад\n\nТак же если вы сами отменяете заказ остатки, которые были зарезервированы под заказ списываются и их так же необходимо заново принимать на склад, если по какой-то причине вы их не хотите списывать	NULL
Вы можете сделать такую выгрузку на странице Остатки на складах:\nhttps://selsup.ru/application/stocks/\n\nВыбрав организацию из выпадающего списка с названием маркетплейса\nhttps://selsup.ru/wp-content/uploads/2023/05/snimok-ekrana-2023-05-18-v-07.45.46.png	NULL
Укажите количество карточек и по какому признаку хотите их объединить.	NULL
Для переноса вам нужно подключить в SelSup маркетплейс, с которого хотите перенести карточки или прислать нам файл Excel/YML, из которого нужно перенести карточки\nТак же понадобится предоставить нашему аккаунты доступ в кабинет, для проверки карточек.\n\nУкажите количество карточек, и из какого маркетплейса в какой хотите перенести (услуга доступна для переноса карточек между Вайлдберриз и Озон). Мы пришлем вам счет. Стоимость переноса одного товара от 24 рублей (но не менее 5000 руб. за услугу), в зависимости от количества карточек, которое вам нужно перенести и количества категорий.	NULL
Посмотреть карточки, которые объединены по остаткам вы можете в разделе Остатки на складе:\nhttps://selsup.ru/application/stocks/\n\nНа странице включите переключатель "Показать дубликаты" и обновите страницу. В колонке Дубликаты вы можете посмотреть все дубликаты по остаткам.\n\nТак же вы можете посмотреть дубликаты по остаткам в разделе Товары -> кнопка Экспорт. Выгрузите Excel файл со списком товаров и для объединенных по остаткам товаров будет проставлено одинаковое значение в колонке SKU.	NULL
Вы можете обновить статус кода маркировки на странице Маркировка -> Коды маркировки:\nhttps://selsup.ru/application/codes\n\nВыберите галочками нужные коды маркировки или просто нажмите кнопку обновления в виде кружка, чтобы обновить все коды маркировки на странице.	NULL
В SelSup можно добавить робота, который будет по заданному расписанию обновлять остатки и закупочные цены с электронной почты, файлов YML, Excel и отправлять обновленные остатки на маркетплейсы.\nОбработка добавляется через поддержку, после добавления вы сможете изменить ее на странице:\nhttps://selsup.ru/application/dropShipping/\n\nДобавление такого робота возможно на тарифе Бизнес (до 3х роботов) Каждый последующий оплачивается отдельно - 1000 рублей за робот. 	NULL
Заказы автоматически импортируются в SelSup со всех маркетплейсов и резервируются остатки только если у вас включены галочки Онлайн остатки и Синхронизировать остатки на странице Мои организации:\nhttps://selsup.ru/application/organizations/\n\nЧтобы включить эти галочки, прочитайте инструкцию:\nhttps://selsup.ru/help/perenos-ostatkov/\n\nБез включения этих галочек, вы можете импортировать заказы, нажав на кнопку Импортировать заказы на странице:\nhttps://selsup.ru/application/fbsOrders/	NULL
Если у вас несколько штрих-кодов в карточке, то при редактировании карточки, справа в поле штрих-кода, у вас указано, для каких маркетплейсов можно использовать данный штрих-код. Нажмите на иконку штрих-кода, чтобы включить или выключить использование штрих-кода для определенного маркетплейса.\n\nЕсли вы печатаете штрих-код из заказа, в котором указан маркетплейс, то при печати этикетки будет выбираться штрих-код соответствующего маркетплейса. На странице Товары вы можете выбрать, для какого маркетплейса распечатать этикетку.	NULL
Создать карточку вы можете на странице Товары, нажав кнопку Создать товар:\nhttps://selsup.ru/application/model/new	NULL
Напишите текст возникающей ошибки на карточке и ссылку на карточку, которую отправляете на создание. Если ошибка произошла при массовом переносе, напишите пример артикул карточки - с которым возникли проблемы	NULL
Напишите текст возникающей ошибки на странице Импорта заказов со своего склада:\nhttps://selsup.ru/application/orders/	NULL
Ошибка возникает, когда вы включили переключатель "Печать этикетку для сборки в ленте заказов" на странице настройки заказов и у вас настроен QzTray:\nhttps://selsup.ru/application/settings/fbs/\n\nЭта настройка нужна, если вы хотите печатать дополнительные этикетки в ленте заказов с указанием товаров, которые необходимо собрать и не хотите использовать лист сборки. Если вы включили переключатель по ошибке, просто отключите его в настройках на странице выше.\n\nВам необходимо перейти на страницу Данные -> Этикетки и добавить соответствующие этикетки:\nhttps://selsup.ru/application/labels/\n\nТовары ленты заказов 75 на 120\nТовар ленты заказов 58 на 40\n\nПосле ошибка не будет возникать	NULL
Да, конечно подскажем	NULL
Вы не можете полностью удалить карточку товара в SelSup, если у карточки уже есть заказы на отгрузку, заказы FBO, приемки на склад, закупки и пр.\n\nЕсли вы неправильно объединили карточки и хотите ее удалить, чтобы заново импортировать, то читайте об этом на странице:\nhttps://selsup.ru/help/razdelenie-nepravilno-obedinennyh-tovarov/\n\nЕсли вы создали новую карточку и хотите перенести на нее данные с уже существующей, то это можно сделать через объединение карточек:\nhttps://selsup.ru/application/productsImport/merge/\nНайдите одну карточку и вторую и нажмите кнопку объединения. Все данные будут перенесены на новую карточку.\n\nЕсли вы просто хотите скрыть неактуальную карточку, то вместо удаления, вы можете отправить карточку в Архив, нажав кнопку Архив рядом с кнопкой удаления. Карточка будет скрыта и не будет учитываться в лимитах по вашему тарифу.	NULL
